Hectare,Shift,Date,Sighter Observed Weather Data,Temperature,Weather,Clear/Sunny,Cloudy,Precipitation,Windy,Humid
21G,PM,10072018,"79º F, Some clouds",79º F,Partly Cloudy,No,Yes,No,No,No
21G,AM,10142018,"55º F, partly sunny",55º F,Partly Sunny,Yes,No,No,No,No
21H,AM,10172018,"50º F, Sunny",50º F,Sunny,Yes,No,No,No,No
21H,PM,10182018,"52º F, Clear, Windy",52º F,Clear,Yes,No,No,Yes,No
21I,AM,10182018,"44º F, Sunny",44º F,Sunny,Yes,No,No,No,No
21I,PM,10132018,"55º F, partly cloudy (sundown)",55º F,Partly Cloudy,No,Yes,No,No,No
22A,PM,10172018,"75º F, with some breeze",75º F,Clear,Yes,No,No,Yes,No
22B,AM,10132018,"~58º F, wet, drizzle",58º F,Drizzle,No,Yes,Yes,No,No
22B,PM,10142018,"50º F, Cloudy",50º F,Cloudy,No,Yes,No,No,No
22C,AM,10132018,"50º F, rain",50º F,Rain,No,Yes,Yes,No,No
22D,PM,10122018,"61º F, sunny",61º F,Sunny,Yes,No,No,No,No
22D,AM,10082018,"67º F, misty, cloudy, humid",67º F,Misty,No,Yes,Yes,No,Yes
22E,PM,10142018,"50º F",50º F,None,No,No,No,No,No
22E,AM,10182018,"40s, Cold, Sunny, Windy",40º F,Sunny,Yes,No,No,Yes,No
22F,PM,10142018,"58º F, cool",58º F,Cool,No,No,No,No,No
22G,AM,10182018,"40º F, Windy, Clear",40º F,Clear,Yes,No,No,Yes,No
22G,PM,10182018,"53º F, Sunny",53º F,Sunny,Yes,No,No,No,No
22H,AM,10182018,"44º F, Sunny, Windy",44º F,Sunny,Yes,No,No,Yes,No
22H,PM,10072018,"78º F, More overcast",78º F,Overcast,No,Yes,No,No,No
22I,PM,10132018,"55º F, partly cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
23A,AM,10182018,"Sunny",,Sunny,Yes,No,No,No,No
23B,PM,10122018,"60º F, Breezy",60º F,Breezy,No,No,No,Yes,No
23B,AM,10192018,"48º F, Chilly, Mild",48º F,Chilly,No,No,No,No,No
23C,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
23C,AM,10192018,"48º F, Chilly, Mild",48º F,Chilly,No,No,No,No,No
23D,AM,10132018,"~56º F, drizzle",56º F,Drizzle,No,Yes,Yes,No,No
23E,AM,10142018,"54º F, partly cloudy",54º F,Partly Cloudy,No,Yes,No,No,No
23E,PM,10062018,"drizzling, cloudy",,Cloudy,No,Yes,Yes,No,No
23F,AM,10182018,"44º F, Sunny, Windy",44º F,Sunny,Yes,No,No,Yes,No
23F,PM,10132018,"55º F, partly cloudy (with sun)",55º F,Partly Cloudy,No,Yes,No,No,No
23G,AM,10182018,"44º F, Sunny, Clear Sky, Windy (Gusts)",44º F,Sunny,Yes,No,No,Yes,No
23H,PM,10192018,"60º F, Partly Cloudy",60º F,Partly Cloudy,No,Yes,No,No,No
23H,AM,10142018,"55º F, partly sunny",55º F,Partly Sunny,Yes,No,No,No,No
23I,AM,10192018,"46º F, Sunny, no clouds",46º F,Sunny,Yes,No,No,No,No
23I,PM,10192018,"60º F, Partly Cloudy",60º F,Partly Cloudy,No,Yes,No,No,No
24A,AM,10142018,"50º F, Sunny, Clear",50º F,Sunny,Yes,No,No,No,No
24B,PM,10102018,"70s, sunny, humid",75º F,Sunny,Yes,No,No,No,Yes
24B,AM,10132018,"50º F, rain, very cloudy",50º F,Rain,No,Yes,Yes,No,No
24C,AM,10102018,"73º F, Vaguely sunny",73º F,Sunny,Yes,No,No,No,No
24C,PM,10172018,"62º F, sunny, windy",62º F,Sunny,Yes,No,No,Yes,No
24I,AM,10192018,"45º F, Sunny, Windy",45º F,Sunny,Yes,No,No,Yes,No
25A,AM,10132018,"50º F, drizzle, light rain, overcast",50º F,Drizzle,No,Yes,Yes,No,No
25B,AM,10142018,"Partly cloudy",,Partly Cloudy,No,Yes,No,No,No
25B,PM,10072018,"80º F, Sunny. Humid.",80º F,Sunny,Yes,No,No,No,Yes
25I,PM,10072018,"Humid",,Humid,No,No,No,No,Yes
25I,AM,10122018,"60º F, windy",60º F,Windy,No,No,No,Yes,No
26A,AM,10142018,"51º F, Mostly Cloudy, Light Breeze",51º F,Mostly Cloudy,No,Yes,No,Yes,No
26B,AM,10102018,"70º F, Humid and cloudy",70º F,Cloudy,No,Yes,No,No,Yes
26B,PM,10172018,"62º F, sunny, windy",62º F,Sunny,Yes,No,No,Yes,No
26I,PM,10102018,"79º F, Part sunny",79º F,Partly Sunny,Yes,No,No,No,No
26I,AM,10102018,"73º F, Partly cloudy, muggy, occasional cool breeze",73º F,Partly Cloudy,No,Yes,No,Yes,Yes
27A,AM,10082018,"65º F, overcast, cloudy, light drizzle",65º F,Drizzle,No,Yes,Yes,No,No
27A,PM,10062018,"drizzling, cloudy",,Drizzling,No,Yes,Yes,No,No
27B,AM,10142018,"49º F, Sunny, Clear",49º F,Sunny,Yes,No,No,No,No
27C,AM,10142018,"53º F, mostly sunny, calm",53º F,Sunny,Yes,No,No,No,No
27C,PM,10122018,"61º F, sunny, windy",61º F,Sunny,Yes,No,No,Yes,No
27I,AM,10072018,"Cool",,Cool,No,No,No,No,No
28A,PM,10072018,"80º F, Overcast. Humid.",80º F,Overcast,No,Yes,No,No,Yes
28A,AM,10142018,"50º F, Sunny & Cloudy",50º F,Partly Cloudy,No,Yes,No,No,No
28B,AM,10072018,"71º F, Overcast. Breezy",71º F,Overcast,No,Yes,No,Yes,No
28B,PM,10102018,"79º F, Humid, sunny",79º F,Sunny,Yes,No,No,No,Yes
28C,AM,10142018,"50ish, sunny, calm",50º F,Sunny,Yes,No,No,No,No
28D,PM,10192018,"59º F, P/Cloudy, Light Wind",59º F,Partly Cloudy,No,Yes,No,Yes,No
28D,AM,10122018,"59º F, windy",59º F,Windy,No,No,No,Yes,No
28I,PM,10072018,"78º F",78º F,None,No,No,No,No,No
28I,AM,10132018,"50º F, overcast, wet, light rain",50º F,Rain,No,Yes,Yes,No,No
29A,PM,10192018,"59º F, Sunny",59º F,Sunny,Yes,No,No,No,No
29A,AM,10132018,"50º F, light rain, calm",50º F,Rain,No,Yes,Yes,No,No
29B,PM,10102018,"70s, Sunny, humid",75º F,Sunny,Yes,No,No,No,Yes
29B,AM,10072018,"70º F, Overcast. Moist.",70º F,Overcast,No,Yes,No,No,Yes
29C,PM,10062018,"Cool, cloudy & light drizzle",,Cloudy,No,Yes,Yes,No,No
29C,AM,10072018,"70º F",70º F,Clear,No,No,No,No,No
29D,PM,10102018,"77º F, Sunny",77º F,Sunny,Yes,No,No,No,No
29E,AM,10172018,"51º F, clear & sunny",51º F,Sunny,Yes,No,No,No,No
29E,PM,10062018,"Misty, Rain, Cool",,Misty,No,Yes,Yes,No,No
29H,PM,10062018,"65º F, Foggy",65º F,Foggy,No,Yes,Yes,No,No
29H,AM,10132018,"50º F, drizzle, overcast",50º F,Drizzle,No,Yes,Yes,No,No
29I,PM,10072018,"80º F, Overcast",80º F,Overcast,No,Yes,No,No,Yes
29I,AM,10192018,"45º F, Sunny, Windy",45º F,Sunny,Yes,No,No,Yes,No
30A,AM,10102018,"72º F, Cloudy and bright",72º F,Cloudy,No,Yes,No,No,No
30A,PM,10202018,"62º F, Sunny",62º F,Sunny,Yes,No,No,No,No
30B,PM,10192018,"59º F",59º F,None,No,No,No,No,No
30B,AM,10072018,"70º F, Overcast. Moist.",70º F,Overcast,No,Yes,No,No,Yes
30C,PM,10082018,"65º F, misting",65º F,Misting,No,Yes,Yes,No,No
30C,AM,10142018,"50º F, Cloudy",50º F,Cloudy,No,Yes,No,No,No
30D,AM,10072018,"80º F, Sunny. Humid.",80º F,Sunny,Yes,No,No,No,Yes
30D,AM,10172018,"51º F, sunny",51º F,Sunny,Yes,No,No,No,No
30E,AM,10082018,"66º F, drizzle, overcast",66º F,Drizzle,No,Yes,Yes,No,No
30E,PM,10082018,"65º F, misting",65º F,Misting,No,Yes,Yes,No,No
30F,PM,10072018,"80º F, Overcast",80º F,Overcast,No,Yes,No,No,No
30F,AM,10192018,"30º F",30º F,None,No,No,No,No,No
30G,AM,10132018,"50º F, cold, drizzly, overcast",50º F,Drizzle,No,Yes,Yes,No,No
30G,PM,10102018,"76º F, Sunny, breezy",76º F,Sunny,Yes,No,No,Yes,No
30H,AM,10072018,"Muggy, but cool. Sprinkling.",,Muggy,No,Yes,Yes,No,Yes
30I,AM,10132018,"49º F, rain showers, calm",49º F,Rain,No,Yes,Yes,No,No
31A,AM,10102018,"77º F, Sunny with clouds",77º F,Sunny,Yes,No,No,No,No
31A,PM,10172018,"62º F, sunny, windy",62º F,Sunny,Yes,No,No,Yes,No
31B,PM,10072018,"80º F, Overcast. Humid.",80º F,Overcast,No,Yes,No,Yes,No
31B,AM,10172018,"51º F, sunny, windy",51º F,Sunny,Yes,No,No,Yes,No
31C,AM,10172018,"49º F, clear & sunny",49º F,Clear,Yes,No,No,No,No
31C,PM,10102018,"79º F, Sunny",79º F,Sunny,Yes,No,No,Yes,No
31D,PM,10062018,"65º F, dew point 62º F, misty, light wind",65º F,Misty,No,Yes,Yes,Yes,No
31D,AM,10142018,"50º F, Calm, Fair Sky - Sunny",50º F,Sunny,Yes,No,No,No,No
31E,AM,10142018,"49º F, Partly Cloudy, Chilly",49º F,Partly Cloudy,No,Yes,No,No,No
31E,PM,10062018,"65º F, 62º F, dewpoint, light wind, misty",65º F,Misty,No,Yes,Yes,Yes,No
31F,PM,10072018,Humid,,None,No,No,No,No,Yes
31F,AM,10132018,"50º F, cold, drizzly, overcast, calm",50º F,Drizzle,No,Yes,Yes,No,No
31G,PM,10072018,"78º F, Overcast",78º F,Overcast,No,Yes,No,No,No
31G,AM,10192018,"46º F, Windy, Shady",46º F,Shady,No,Yes,No,Yes,No
31H,AM,10132018,"50º F, cloudy, calm",50º F,Cloudy,No,Yes,No,No,No
31H,PM,10082018,"drizzling",,None,No,Yes,Yes,No,No
31I,AM,10122018,"60º F, windy, cloudy",60º F,Windy,No,Yes,No,Yes,No
31I,PM,10192018,"58º F, P Cloudy",58º F,Partly Cloudy,No,Yes,No,No,No
32A,AM,10182018,"44º F, Sunny, Breezy",44º F,Sunny,Yes,No,No,Yes,No
32B,AM,10172018,"50º F, clear/sunny",50º F,Sunny,Yes,No,No,No,No
32B,PM,10102018,"81º F, Sunny",81º F,Sunny,Yes,No,No,No,No
32C,AM,10142018,"51º F, Partly Cloudy",51º F,Partly Cloudy,No,Yes,No,No,No
32C,PM,10132018,"60º F, partly sunny",60º F,Partly Sunny,Yes,No,No,No,No
32D,PM,10062018,"65º F, cloudy",65º F,Cloudy,No,Yes,No,No,No
32E,PM,10172018,"61º F, cloudy",61º F,Cloudy,No,Yes,No,No,No
32E,AM,10072018,"70º F, Overcast. Slight mist.",70º F,Mist,No,Yes,Yes,No,No
32F,PM,10082018,"66º F, cloudy",66º F,Cloudy,No,Yes,No,No,No
32F,AM,10122018,"59º F, partly cloudy, windy",59º F,Partly Cloudy,No,Yes,No,Yes,No
32G,PM,10132018,"56º F, partly cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
32G,AM,10102018,"73º F",73º F,None,No,No,No,No,No
32H,PM,10062018,"65º F, cloudy",65º F,Cloudy,No,Yes,No,No,No
32H,AM,10102018,"72º F, Overcast",72º F,Overcast,No,Yes,No,No,No
32I,AM,10132018,"49º F, light rain",49º F,Rain,No,Yes,Yes,No,No
32I,PM,10072018,"81º F, Partly cloudy. Humid.",81º F,Partly Cloudy,No,Yes,No,No,Yes
33A,PM,10182018,"Clear Skies, Breezy",None,Clear,Yes,No,No,No,No
33B,PM,10102018,"81º F, Sunny",81º F,Sunny,Yes,No,No,No,No
33B,AM,10102018,"70º F, Nice, overcast",70º F,Overcast,No,Yes,No,No,No
33C,PM,10072018,"78º F, Cloudy",78º F,Cloudy,No,Yes,No,No,No
33C,AM,10122018,"59º F, mostly cloudy, windy",59º F,Mostly Cloudy,No,Yes,No,No,No
33D,PM,10062018,"65º F, Overcast Drizzly",65º F,Drizzly,No,Yes,Yes,No,No
33D,AM,10172018,"51º F, clear, sunny, breezy",51º F,Clear,Yes,No,No,Yes,No
33E,AM,10142018,"50º F, mostly sunny",50º F,Mostly Sunny,Yes,No,No,No,No
33E,PM,10122018,"61º F, sunny, windy",61º F,Sunny,Yes,No,No,Yes,No
33F,PM,10122018,"60º F, sunny, clear",60º F,Sunny,Yes,No,No,No,No
33F,AM,10082018,"65º F, drizzling",65º F,Drizzly,No,Yes,Yes,No,No
33G,PM,10062018,"Calm",,Calm,Yes,No,No,No,No
33G,AM,10132018,"50º F, light rain",50º F,Rain,No,Yes,Yes,No,No
33H,AM,10192018,"46º F, Sunny, Breezy",46º F,Sunny,Yes,No,No,Yes,No
33H,PM,10122018,"61º F, clear, breezy",61º F,Clear,Yes,No,No,Yes,No
33I,PM,10062018,"65º F, drizzling",65º F,Drizzly,No,Yes,Yes,No,No
33I,AM,10082018,"66º F, Drizzly",66º F,Drizzly,No,Yes,Yes,No,No
34A,AM,10122018,"59º F, windy, sunny",59º F,Sunny,Yes,No,No,Yes,No
34A,PM,10132018,"60º F, partly cloudy",60º F,Partly Cloudy,No,Yes,No,No,No
34B,PM,10072018,"78º F, Cloudy",78º F,Cloudy,No,Yes,No,Yes,No
34C,PM,10122018,"61º F, sunny, light breeze",61º F,Sunny,Yes,No,No,Yes,No
34C,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
34D,PM,10072018,"80º F, Humid. Overcast.",80º F,Overcast,No,Yes,No,No,Yes
34E,PM,10062018,"65º F, Drizzle",65º F,Drizzly,No,Yes,Yes,No,No
34E,AM,10182018,"45º F, Brisk",45º F,Brisk,Yes,No,No,No,No
34F,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
34F,PM,10122018,"Clear blue sky, breezy, getting cold",,Clear,Yes,No,No,Yes,No
34G,PM,10062018,"Drizzling",,Drizzling,No,Yes,Yes,No,No
34H,PM,10062018,"Sprinkling",,Sprinkling,No,Yes,Yes,No,No
34H,AM,10072018,"76º F, Cloudy",76º F,Cloudy,No,Yes,No,No,No
34I,PM,10102018,"77-80º F",77º F,None,No,No,No,No,No
34I,AM,10122018,"59º F, misty, windy",59º F,Misty,No,Yes,Yes,Yes,No
35A,AM,10142018,"50º F, mostly sunny",50º F,Mostly Sunny,Yes,No,No,No,No
35A,PM,10132018,"54º F, partly cloudy",54º F,Partly Cloudy,No,Yes,No,No,No
35B,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
35B,AM,10102018,"73º F, Cloud/Overcast, beginning to clear, humid",73º F,Overcast,No,Yes,No,No,Yes
35C,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
35C,PM,10132018,"56º F, Partly Cloudy, Breeze",56º F,Partly Cloudy,No,Yes,No,Yes,No
35D,AM,10192018,"45º F, Sunny, Windy",45º F,Sunny,Yes,No,No,Yes,No
35D,PM,10132018,"",,,No,No,No,No,No
35E,PM,10062018,"68º F, Overcast Misty",68º F,Misty,No,Yes,Yes,No,No
35E,AM,10202018,"55º F, Overcast, Breezy",55º F,Overcast,No,Yes,No,Yes,No
35F,PM,10122018,"61º F, sunny, clear",61º F,Sunny,Yes,No,No,No,No
35F,AM,10072018,"74º F, Cloudy",74º F,Cloudy,No,Yes,No,No,No
35G,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
35G,PM,10062018,"64º F, Cloudy & misty",64º F,Misty,No,Yes,Yes,No,No
35H,AM,10132018,"49º F, light rain",49º F,Light Rain,No,Yes,Yes,No,No
35H,PM,10122018,"61º F, clear sky, breezy",61º F,Clear,Yes,No,No,Yes,No
35I,PM,10062018,"68º F, misty, humid",68º F,Misty,No,Yes,Yes,No,Yes
35I,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
36A,AM,10182018,"45º F, Brisk, Clear",45º F,Clear,Yes,No,No,No,No
36A,PM,10132018,"56º F, mostly sunny, very slight breeze",56º F,Mostly Sunny,Yes,No,No,Yes,No
36B,AM,10132018,"50º F, rainy",50º F,Rainy,No,Yes,Yes,No,No
36B,PM,10132018,"54º F, partly cloudy",54º F,Partly Cloudy,No,Yes,No,No,No
36C,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
36C,AM,10142018,"50º F, Calm, Fair, Sunny",50º F,Sunny,Yes,No,No,No,No
36D,PM,10072018,"81º F, Humid. Overcast.",81º F,Overcast,No,Yes,No,No,Yes
36D,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
36E,AM,10132018,"50º F, rainy",50º F,Rainy,No,Yes,Yes,No,No
36E,PM,10122018,"61º F, sunny, light breeze",61º F,Sunny,Yes,No,No,Yes,No
36F,PM,10122018,"61º F, no clouds, clear sky, breeze",61º F,Clear,Yes,No,No,Yes,No
36F,AM,10172018,"50º F, sunny, clear",50º F,Sunny,Yes,No,No,No,No
36G,PM,10122018,"61º F, sunny, windy",61º F,Sunny,Yes,No,No,Yes,No
36H,PM,10082018,"66º F, foggy, drizzly",66º F,Foggy,No,Yes,Yes,No,No
36H,AM,10102018,"72º F, Mostly cloudy, calm",72º F,Mostly Cloudy,No,Yes,No,No,No
36I,AM,10172018,"50º F, sunny, clear",50º F,Sunny,Yes,No,No,No,No
36I,PM,10072018,"81º F, partly cloudy. Humid",81º F,Partly Cloudy,No,Yes,No,No,Yes
37A,AM,10122018,"59º F, partly cloudy, breeze",59º F,Partly Cloudy,No,Yes,No,Yes,No
37B,AM,10182018,"45º F, Clear, Cold",45º F,Clear,Yes,No,No,No,No
37B,PM,10132018,"55º F, mostly cloudy",55º F,Mostly Cloudy,No,Yes,No,No,No
37C,PM,10132018,"55º F, Mostly Cloudy, Cool, Breezy",55º F,Mostly Cloudy,No,Yes,No,Yes,No
37C,AM,10122018,"59º F, mostly cloudy, windy",59º F,Mostly Cloudy,No,Yes,No,Yes,No
37D,AM,10182018,"45º F, Clear",45º F,Clear,Yes,No,No,No,No
37D,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
37E,PM,10062018,"65º F, misty overcast",65º F,Misty,No,Yes,Yes,No,No
37E,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
37F,AM,10102018,"Overcast & humid but cool",,Overcast,No,Yes,No,No,Yes
37F,PM,10142018,"59º F, overcast, SW 6 mph",59º F,Overcast,No,Yes,No,Yes,No
37G,PM,10072018,"81º F, partly cloudy. Humid",81º F,Partly Cloudy,No,Yes,No,No,Yes
37H,PM,10062018,"65º F, misty, overcast",65º F,Misty,No,Yes,Yes,No,No
37H,AM,10182018,"45º F, Very Sunny, Chilly",45º F,Sunny,Yes,No,No,No,No
37I,AM,10102018,"Overcast & humid but cool",,Overcast,No,Yes,No,No,Yes
37I,PM,10062018,"~65º F, Misting & Cloudy",65º F,Misty,No,Yes,Yes,No,No
38A,AM,10192018,"45º F, Sunny Windy",45º F,Sunny,Yes,No,No,Yes,No
38A,PM,10132018,"55º F, partly cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
38B,AM,10192018,"45º F, Sunny, Cold Breeze",45º F,Sunny,Yes,No,No,Yes,No
38B,PM,10182018,"53º F, Sunny, Light Breeze",53º F,Sunny,Yes,No,No,Yes,No
38C,AM,10192018,"45º F, Sunny, Cold Breeze Wind",45º F,Sunny,Yes,No,No,Yes,No
38C,PM,10142018,"58º F, Cloudy",58º F,Cloudy,No,Yes,No,No,No
38D,PM,10062018,"65º F, Misty, overcast",65º F,Misty,No,Yes,Yes,No,No
38D,AM,10172018,"50º F, clear, sunny",50º F,Sunny,Yes,No,No,No,No
38E,AM,10102018,"72º F, Bit cloudier",72º F,Cloudy,No,Yes,No,No,No
38E,PM,10142018,"59º F, overcast, SW 6 mph",59º F,Overcast,No,Yes,No,Yes,No
38F,AM,10182018,"45º F, Clear",45º F,Clear,Yes,No,No,No,No
38F,PM,10132018,"56º F, partly cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
38G,PM,10202018,"61º F, Sunny and Clear",61º F,Sunny,Yes,No,No,No,No
38G,AM,10182018,"45º F, Sunny",45º F,Sunny,Yes,No,No,No,No
38H,PM,10122018,"61º F, breeze, blue sky",61º F,Sunny,Yes,No,No,Yes,No
38H,AM,10192018,"46º F, Sunny",46º F,Sunny,Yes,No,No,No,No
38I,AM,10192018,"45º F, Sunny, Breezy",45º F,Sunny,Yes,No,No,Yes,No
38I,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
39A,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
39A,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
39B,PM,10142018,"57º F, Cloudy",57º F,Cloudy,No,Yes,No,No,No
39B,AM,10182018,"45º F, Clear, Brisk",45º F,Clear,Yes,No,No,No,No
39C,AM,10172018,"50º F, clear, sunny",50º F,Sunny,Yes,No,No,No,No
39C,PM,10062018,"64º F, Cloudy & Misty",64º F,Misty,No,Yes,Yes,No,No
39D,PM,10122018,"61º F, clear sky, windy",61º F,Clear,Yes,No,No,Yes,No
39D,AM,10082018,"67º F, cloudy, drizzling",67º F,Drizzling,No,Yes,Yes,No,No
39E,PM,10132018,"59º F, sunny, slightly cloudy",59º F,Sunny,Yes,No,No,No,No
39E,AM,10182018,"45º F, Clear, Brisk",45º F,Clear,Yes,No,No,No,No
39F,AM,10142018,"51º F, mostly sunny",51º F,Sunny,Yes,No,No,No,No
39F,PM,10062018,"65º F, misty, overcast",65º F,Misty,No,Yes,Yes,No,No
39G,AM,10182018,"45º F, Windy, Clear Skies",45º F,Clear,Yes,No,No,Yes,No
39H,PM,10132018,"55º F, mostly cloudy",55º F,Cloudy,No,Yes,No,No,No
39H,AM,10072018,"Overcast",,Overcast,No,Yes,No,No,No
39I,AM,10192018,"45º F, Sunny, Breezy",45º F,Sunny,Yes,No,No,Yes,No
40A,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
40A,AM,10102018,"72º F, Absolute perfection",72º F,Sunny,Yes,No,No,No,No
40B,AM,10192018,"47º F, Sunny, Breezy",47º F,Sunny,Yes,No,No,Yes,No
40C,AM,10172018,"50º F, clear, sunny",50º F,Sunny,Yes,No,No,No,No
40D,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
40D,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
40E,AM,10142018,"50º F, mostly sunny",50º F,Sunny,Yes,No,No,No,No
40F,AM,10182018,"45º F, Clear, Sunny",45º F,Sunny,Yes,No,No,No,No
40F,PM,10062018,"65º F, cloudy misting",65º F,Misty,No,Yes,Yes,No,No
40G,AM,10072018,"70º F, Overcast",70º F,Overcast,No,Yes,No,No,No
40H,PM,10082018,"Overcast, dusk",,Overcast,No,Yes,No,No,No
40H,AM,10172018,"52º F, breezy, sunny",52º F,Sunny,Yes,No,No,Yes,No
40I,AM,10182018,"45º F, Clear",45º F,Clear,Yes,No,No,No,No
41A,PM,10072018,"81º F, Partly Cloudy",81º F,Partly Cloudy,No,Yes,No,No,No
41A,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
41B,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
41C,PM,10072018,"81º F, Partly Cloudy",81º F,Partly Cloudy,No,Yes,No,No,No
41C,AM,10172018,"50º F, clear, sunny",50º F,Sunny,Yes,No,No,No,No
41D,PM,10142018,"57º F, cloudy",57º F,Cloudy,No,Yes,No,No,No
41D,AM,10142018,"50º F, mostly sunny",50º F,Sunny,Yes,No,No,No,No
41E,AM,10072018,"71º F, Overcast",71º F,Overcast,No,Yes,No,No,No
41F,PM,10192018,"60º F, partly cloudy",60º F,Partly Cloudy,No,Yes,No,No,No
41F,AM,10192018,"45º F, Sunny, Breezy",45º F,Sunny,Yes,No,No,Yes,No
41G,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
41G,AM,10132018,"50º F, sprinkling",50º F,Light Rain,No,Yes,Yes,No,No
41H,PM,10082018,"Cool, overcast",,Overcast,No,Yes,No,No,No
41H,AM,10172018,"51º F, sunny, light breeze",51º F,Sunny,Yes,No,No,Yes,No
41I,AM,10182018,"45º F, Clear",45º F,Clear,Yes,No,No,No,No
41I,PM,10172018,"63º F, partly cloudy, breezy",63º F,Partly Cloudy,No,Yes,No,Yes,No
42A,PM,10142018,"57º F, mostly cloudy",57º F,Mostly Cloudy,No,Yes,No,No,No
42A,AM,10192018,"45º F, Sunny, Breezy",45º F,Sunny,Yes,No,No,Yes,No
42B,PM,10082018,"64º F, cloudy, slight drizzle, humid",64º F,Drizzle,No,Yes,Yes,No,Yes
42C,AM,10072018,"71º F, Overcast",71º F,Overcast,No,Yes,No,No,No
42C,PM,10132018,"55º F, mostly cloudy",55º F,Mostly Cloudy,No,Yes,No,No,No
42D,PM,10132018,"55º F, cloudy (mostly)",55º F,Cloudy,No,Yes,No,No,No
42D,AM,10142018,"50º F, mostly sunny",50º F,Sunny,Yes,No,No,No,No
42E,PM,10122018,"61º F, clear sky, windy",61º F,Clear,Yes,No,No,Yes,No
42E,AM,10082018,"65º F, cloudy, drizzling",65º F,Drizzle,No,Yes,Yes,No,No
42F,AM,10192018,"66º F, Calm and some Breeze",66º F,Calm,No,No,No,Yes,No
42G,AM,10182018,"45º F, Breezy, Clear Skies",45º F,Clear,Yes,No,No,Yes,No
42H,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
42H,AM,10192018,"66º F, Calm, Sunny",66º F,Sunny,Yes,No,No,No,No
42I,PM,10142018,"57º F, cloudy",57º F,Cloudy,No,Yes,No,No,No
42I,AM,10192018,"45º F, Sunny, Breezy",45º F,Sunny,Yes,No,No,Yes,No
9I,AM,10142018,"54º F, mostly sunny",54º F,Sunny,Yes,No,No,No,No
01C,AM,10122018,"Cool, sunny",,Sunny,Yes,No,No,No,No
01D,PM,10072018,"80º F, Cloudy",80º F,Cloudy,No,Yes,No,No,No
01E,PM,10072018,"80º F, Sunny",80º F,Sunny,Yes,No,No,No,No
01I,PM,10122018,"Cold, sunny",,Sunny,Yes,No,No,No,No
02B,PM,10132018,"54º F, Sunny, Breezy",54º F,Sunny,Yes,No,No,Yes,No
02B,AM,10102018,"70º F, Partly cloudy",70º F,Partly Cloudy,No,Yes,No,No,No
02C,PM,10132018,"54º F, Sunny, Breezy",54º F,Sunny,Yes,No,No,Yes,No
02F,PM,10142018,"57º F, cloudy",57º F,Cloudy,No,Yes,No,No,No
03A,AM,10122018,"Sunny, cool",,Sunny,Yes,No,No,No,No
03B,AM,10102018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
03F,PM,10132018,"55º F, Partly Cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
03H,PM,10142018,"57º F, cloudy",57º F,Cloudy,No,Yes,No,No,No
04C,AM,10062018,"65º F, cloudy",65º F,Cloudy,No,Yes,No,No,No
04F,PM,10132018,"55º F, Partly Cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
06E,AM,10142018,"50º F, mostly sunny",50º F,Sunny,Yes,No,No,No,No
07C,PM,10202018,"62º F, Sunny",62º F,Sunny,Yes,No,No,No,No
07E,PM,10132018,"56º F, Cloudy, Light Wind",56º F,Cloudy,No,Yes,No,Yes,No
07H,AM,10062018,"60º F, cloudy, slight drizzle",60º F,Cloudy,No,Yes,Yes,No,No
08C,PM,10132018,"54º F, Bit Breezy, Cool",54º F,Breezy,No,No,No,Yes,No
